climateConceptId;stringRepresentation;incomingConnections (climateConceptIds);outgoingConnections (climateConceptIds);x;y;sourceUrls;sourceOriginalTexts
188879353;increase_[]_PTSD_occurrence;[2433861945, 289798975];[3501920577];776;-759;[https://www.psychologytoday.com/blog/expressive-trauma-integration/202002/ptsd-may-be-risk-factor-autoimmune-disease];[A recent study (Boggs Bookwalter et al., 2020) finds that people suffering from PTSD may be at increased risk of developing autoimmune diseases.]
3508731;increase_['offshore']_oil_dredging projects;[];[3047887476, 407468100];1516;1730;[https://en.wikipedia.org/wiki/Isle_de_Jean_Charles,_Louisiana];[In the 1940s, companies began offshore oil drilling projects and dredging near the island, activities which contributed to the erosion of the island and its island road.[11]]
754838768;increase_[]_aggressive tendencies_extent;[314515249];[];1528;-949;[http://www.psychologicalscience.org/observer/global-warming-and-violent-behavior];[That rapid climate change will (and already is) negatively affecting the livelihoods and aggressive tendencies of individuals is obvious, but it is informative to consider how entire populations respond to these effects.]
1802798293;increase_[]_lung alveoli_ventilation-perfusion ratio mismatch;[2994093077];[2811625371];419;-573;[https://www.intechopen.com/books/contemporary-topics-of-pneumonia/pneumonia-a-challenging-health-concern-with-the-climate-change];[The mismatch in the ventilation-perfusion ratio due to the reduced minute-ventilation increases the hypoxemia.]
3401194825;increase_[]_storm_intensity;[544568328];[];3189;353;[https://www.pbs.org/newshour/nation/is-climate-change-making-hurricanes-stall];[Warmer oceans cause hurricanes to have faster wind speeds and stronger central pressure, making the storms more intense.]
271422504;increase_[]_ocean_extended periods of unusually high temperatures;[355603861];[];2912;841;[https://www.carbonbrief.org/explainer-nine-tipping-points-that-could-be-triggered-by-climate-change];[These events were caused by marine heatwaves – extended periods of unusually high temperatures that were themselves boosted by human-caused warming and El Niño.]
1073918139;increase_[]_natural gas_emissions;[1456806804, 2261956420];[];2349;1261;[https://www.nytimes.com/2019/10/16/climate/natural-gas-flaring-exxon-bp.html];[The analysis provides one of the clearest pictures to date of the companies behind the vast emissions of natural gas that have resulted from America’s shale oil boom, fueled by the use of hydraulic fracturing, or fracking, to unlock fossil fuels from shale rock.]
956657781;increase_['perceived']_scarcity_occurrence;[1306712947];[1337673111, 2094305576, 3517857875];2933;-925;[https://oxfordre.com/view/10.1093/acrefore/9780190228620.001.0001/acrefore-9780190228620-e-344];[In many of these cases, an environmental disaster was a flashpoint which ultimately culminated in interpersonal violence due to lost infrastructure, fear and uncertainty, perceived scarcity or competition, or massive relocation—all factors that weaken social control and counteract the mechanisms societies use to resolve disputes peacefully (Nardulli et al., 2015).]
2648215708;increase_['insurance']_company_withdrawl;[687402202];[1160742071];2296;-490;[https://www.nytimes.com/2020/09/08/climate/climate-change-financial-markets.html];[Insurance companies could withdraw from California in the wake of devastating wildfires, and home values could plummet on coastlines and in floodplains.]
3903398984;increase_['dry']_conditions_occurrence;[4262689351];[];2445;513;[https://www.nytimes.com/2020/09/10/us/climate-change-california-wildfires.html];[A scorching summer led to dry conditions never before experienced.]
2744872556;decrease_['greenhouse']_gas_emissions;[1694421885];[1038969192, 1814094053];-1091;-497;[https://www.zdnet.com/article/ai-can-fight-climate-change-but-theres-a-catch-optimization-doesnt-automatically-equal-emissions-reduction/];[A report last year by the Intergovernmental Panel on Climate Change of the United Nations started that "without increased and urgent mitigation ambition in the coming years, leading to a sharp decline in greenhouse gas emissions by 2030, global warming will surpass 1.5°C in the following decades, leading to irreversible loss of the most fragile ecosystems, and crisis after crisis for the most vulnerable people and societies."]
387940889;increase_[]_water_scarcity;[3064021550, 3833222868];[];2372;249;[https://www.greenfacts.org/en/impacts-global-warming/l-2/index.htm];[Although the most adverse impacts on water availability are likely to occur in association with growing water demand as the world population increases, some estimates indicate that a 4°C warming would significantly exacerbate existing water scarcity in many regions, particularly northern and eastern Africa, the Middle East, and South Asia, while additional countries in Africa would be newly confronted with water scarcity on a national scale due to population growth.]
2428380153;increase_[]_hurricane_size;[419252930, 2752199693];[1631443205];3141;627;[https://www.sciencedaily.com/releases/2020/01/200102143401.htm];[at Stony Brook University, and published in Science Advances, found that Hurricane Florence produced more extreme rainfall and was spatially larger due to human-induced climate change.]
1624072732;increase_['maternal']_malnourishment_occurrence;[];[1722839780];3354;-808;[https://oxfordre.com/view/10.1093/acrefore/9780190228620.001.0001/acrefore-9780190228620-e-344];[In the decades that followed, the men who experienced maternal malnourishment during pregnancy were 2.5 times more likely than men who had not to develop antisocial personality disorder, a condition characterized by frequent violence and antisocial behavior (Neugebauer et al., 1999).]
2993589616;increase_['soy']_beans_yield losses;[1897205423, 3734511371, 3252706590, 3316167927];[];3580;-550;[https://physicsworld.com/a/crops-at-risk-from-changing-climate/];[Unusually cold nights, ever greater numbers of extremely hot summer days, weeks with no rainfall, or torrents of storm-driven precipitation, account for somewhere between a fifth to 49% of yield losses for maize, rice, spring wheat and soy beans.]
2640287141;increase_['physical', 'mental']_health_condition;[2893162789];[];-339;-622;[https://www.connect4climate.org/sites/default/files/files/publications/Sport_and_climate_report.pdf];[Participation in sport improves mental and physical health,1 enhances community cohesion and well-being,2 and contributes significantly to employment.3]
2748082669;increase_[]_Vibrio_threat duration;[2654587324];[];799;-298;[https://publicintegrity.org/environment/hidden-epidemics/vibrio-deadly-bacteria-coastal-waters-climate-change-health/];[Rachel Noble, a University of North Carolina microbiologist who has monitored the bacteria in rivers and estuaries in her state for more than 20 years, notes that storm surges can cause Vibrio concentrations to spike and linger in the water.]
4091954635;increase_['bridges']_metal_fatigue;[723915832];[];2132;-149;[https://www.vox.com/energy-and-environment/2019/9/9/20804544/climate-change-phoenix-heat-wave-deaths-extreme-weather];[Instead, rising temperatures weaken roadways, cause metal fatigue in bridges, and make the metal pipes that move water expand, crack, and leak.]
1337673111;decrease_[]_social control_extent;[956657781, 2790394473, 145893722, 3649234979];[];1485;-1162;[https://oxfordre.com/view/10.1093/acrefore/9780190228620.001.0001/acrefore-9780190228620-e-344];[In many of these cases, an environmental disaster was a flashpoint which ultimately culminated in interpersonal violence due to lost infrastructure, fear and uncertainty, perceived scarcity or competition, or massive relocation—all factors that weaken social control and counteract the mechanisms societies use to resolve disputes peacefully (Nardulli et al., 2015).]
1193236786;increase_['prenatal', 'early children']_malnourishment_occurrence;[];[380531607];3468;-776;[http://www.psychologicalscience.org/observer/global-warming-and-violent-behavior];[Studies have shown that malnourishment — both prenatal and in early children — is a precursor to adulthood antisocial behavior, aggression, and violence.]
2891441733;increase_['outside']_work_difficulty;[];[1849521035, 3213082478];1940;-261;[https://cronkitenews.azpbs.org/2019/06/04/climate-change-lower-birth-rates-linked/];[“If you don’t care about an increase of risk of death for the elderly or decrease of economic productivity, because the heat makes it harder to work outside, you might care about this, which suggests that it might be harder to have children in the future.”]
3368066912;increase_[]_heat dome_occurrence;[];[178454124, 1592647876];1807;463;[https://www.usatoday.com/story/news/nation/2020/08/22/california-wildfires-updates-saturday-map-redwood-trees-burn-big-basin/3419083001/];["These lightning strikes, this unprecedented heat dome, these world record temperatures, unprecedented in human history – we’re experiencing more and more of that because of climate change, and as a consequence, these fires are more ferocious, and they’re moving at much more rapid speeds," Newsom said.]
680085827;increase_[]_biosphere_temperatures;[2039271593];[];2396;130;[https://www.theatlantic.com/science/archive/2019/08/how-think-about-dire-new-ipcc-climate-report/595705/];[And longer heat waves, of course, make the biosphere warmer still, starting the cycle again.]
2063752946;increase_[]_ice sheet_melting in rapid bursts;[];[2970002702];1940;525;[https://www.cnn.com/2020/08/20/weather/greenland-ice-sheet-melt-climate-intl-hnk/index.html];[The report follows another study published last week that found Greenland's ice sheet has melted to a point of no return, and is retreating in rapid bursts, leading to a sudden and unpredictable rise in sea levels.]
2039271593;increase_[]_heat wave_duration;[1925045096];[1676904153, 680085827, 1967557112];1835;643;[https://www.theatlantic.com/science/archive/2019/08/how-think-about-dire-new-ipcc-climate-report/595705/];[And longer heat waves, of course, make the biosphere warmer still, starting the cycle again.]
1647953974;decrease_[]_disease_risk;[2601716719];[];-933;-691;[http://theconversation.com/will-climate-change-cause-humans-to-go-extinct-117691];[Over the past century, we have become better at medicine (which lowers the risk from disease) but we also travel more (which increases the spread of diseases).]
566140866;increase_['extreme']_precipitation_occurrence;[];[2463545192];707;487;[https://www.nytimes.com/2019/07/11/climate/hurricane-tropical-storms.html];[What many scientists and experts agree on: As climate change increases extreme precipitation, cities will need to adapt.]
3283924346;increase_[]_Vibrio_concentration;[2654587324];[];793;-350;[https://publicintegrity.org/environment/hidden-epidemics/vibrio-deadly-bacteria-coastal-waters-climate-change-health/];[Rachel Noble, a University of North Carolina microbiologist who has monitored the bacteria in rivers and estuaries in her state for more than 20 years, notes that storm surges can cause Vibrio concentrations to spike and linger in the water.]
1498953135;increase_[]_crisis_occurrence;[1888135545];[];1629;-544;[https://www.zdnet.com/article/ai-can-fight-climate-change-but-theres-a-catch-optimization-doesnt-automatically-equal-emissions-reduction/];[A report last year by the Intergovernmental Panel on Climate Change of the United Nations started that "without increased and urgent mitigation ambition in the coming years, leading to a sharp decline in greenhouse gas emissions by 2030, global warming will surpass 1.5°C in the following decades, leading to irreversible loss of the most fragile ecosystems, and crisis after crisis for the most vulnerable people and societies."]
2443982764;increase_[]_wildfire_duration;[];[305867439];1959;191;[https://s3.amazonaws.com/climatehealth2016/low/ClimateHealth2016_08_Mental_Health_small.pdf];[Though many of these studies describe the mental health impacts of specific historical events, they demonstrate thetypes of mental health issues that will continue to arise as climate change leads to increases in the frequency, severity, and duration of extreme climate- and weather-related events such as floods, hurricanes, droughts, and wildfires.17, 18, 19, 20, 21, 22, 23, 24, 25, 29, 41, 50, 51, 68, 70 Strong support is found in a number of recent studies for the potential for climate change-related psychological effects, including grief/bereavement, increased substance use or misuse, and thoughts of suicide.19, 35, 36, 37, 38, 60\nResearch on individual resilience and recovery shows that a majority of individuals psychologically affected by a traumatic event will recover over time.]
2823888342;increase_[]_organizations_direct financial and operational implications;[2569829855, 1602056034];[];2060;-477;[https://www.spglobal.com/ratings/en/research/articles/190909-climate-change-can-banks-weather-the-effects-11139468];[Physical risks include the direct financial and operational implications for organizations from natural catastrophes as well as long-term climate change.]
2041771271;increase_[]_corn_failure;[];[3635100677];3479;-492;[https://spectrumnews1.com/wi/madison/news/2020/10/06/climate-change-report-details-current-and-future-impacts-in-wisconsin];[Stronger storms, like the Derecho winds that wiped out an estimated 10 million acres of corn in Iowa, can hurt the bottom line for farmers.]
3017699028;decrease_[]_poverty_risk;[2966811852];[];-1037;-725;[https://www.theguardian.com/environment/2019/jun/25/climate-apartheid-united-nations-expert-says-human-rights-may-not-survive-crisis];[In October 2018, they said carbon emissions must halve by 2030 to avoid even greater risks of drought, floods, extreme heat and poverty for hundreds of millions of people.]
2244542658;increase_['powerful']_flood_occurrence;[];[913745846, 772006913];893;252;[http://www.climatesciencewatch.org/2019/06/28/as-climate-change-creates-a-true-public-health-emergency-trump-administration-quashes-federal-climate-program-and-exiles-its-director/];[“Extreme heat, powerful storms and floods, year-round wildfires, droughts, and other climate-related events have already caused thousands of deaths and displaced tens of thousands of people in the U.S. from their homes, with significant personal loss and mental health impacts especially for first responders and children,” the letter warns.]
1306712947;increase_['environmental']_disaster_occurrence;[];[3517857875, 956657781, 2790394473, 145893722, 3649234979];2480;601;[https://oxfordre.com/view/10.1093/acrefore/9780190228620.001.0001/acrefore-9780190228620-e-344];[In many of these cases, an environmental disaster was a flashpoint which ultimately culminated in interpersonal violence due to lost infrastructure, fear and uncertainty, perceived scarcity or competition, or massive relocation—all factors that weaken social control and counteract the mechanisms societies use to resolve disputes peacefully (Nardulli et al., 2015).]
2124459949;increase_[]_alarm_occurrence;[4228771091];[];-168;81;[https://web.stanford.edu/~gentzkow/research/fake-news-trends.pdf];[Although the political process has a long history of misinformation and popular misperceptions, misinformation on social media has caused widespread alarm in recent years]
857324632;increase_['coastal']_flood_occurrence;[];[538825605];3726;387;[https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4928742/];[For example, it has been estimated that over 200 million persons may be forced to leave their place or country of residence by 2050 due to a combination of climate change-related shoreline erosion, coastal flooding, desertification, agricultural change, natural disasters, government policy or geopolitical conflict [73].]
2471344720;increase_['high']_wind_occurrence;[];[729013976];3109;312;[https://www.nytimes.com/2019/10/31/dining/drinks/napa-valley-wine-climate-change.html];[Wildfires, sparked by high winds and extremely dry conditions, are threatening Northern California wine country.]
252408694;increase_['eco-terrorism']_references_activity;[];[2101302250, 4046491967, 1263866963];1395;-1000;[https://www.huffpost.com/entry/report-environment-activists-killed_n_5cb5f7dfe4b098b9a2db040f];[She also noted, “Since the Dakota Pipeline protests took off, we’ve seen a resurgence of references to ‘eco-terrorism,’” which stokes fear, retaliation and legal repression.]
2468385756;increase_['drinking']_water_consequences;[2396796549];[];152;513;[https://grist.org/article/growing-body-of-science-links-fracking-to-harm-to-health/];[Increasingly, they found, studies connect fracking operations to air pollution, contaminated or depleted drinking water, and earthquakes.]
3715595031;increase_['human-made']_CO2_emissions;[];[1159391981];2037;1244;[https://eos.org/features/how-will-climate-change-affect-the-united-states-in-decades-to-come];[Continued growth in human-made emissions of CO2 over this century and beyond would lead to an atmospheric concentration not experienced in tens to hundreds of millions of years.]
2783643157;increase_['against single-use plastic pollution']_fight_compellingness;[1160982933, 1121142475];[];-467;-806;[https://www.surfrider.org/coastal-blog/entry/the-link-between-fossil-fuels-single-use-plastics-and-climate-change];[This makes the fight against single-use plastic pollution more compelling and holistic, realizing that good choices in renewable energy and climate friendly decisions may also help reduce single-use plastic production and pollution, and vice versa.]
2803039152;increase_['olympic']_marathon_rescheduling;[354547897];[];1901;-521;[https://www.climatecentral.org/news/extreme-heat-when-outdoor-sports-become-risky-2019];[Japan’s deadly summer heat waves have caused the 2020 Tokyo Olympic organizers to reschedule the Olympic marathon to begin at 6 a.m. to avoid the highest heat at mid-day and to put in place measures to keep spectators and participants safe from the heat and humidity next summer.]
3139379297;increase_[]_hurricane_frequency;[];[305867439, 2745082887, 3344676726, 584998545];3183;493;[https://s3.amazonaws.com/climatehealth2016/low/ClimateHealth2016_08_Mental_Health_small.pdf];[Though many of these studies describe the mental health impacts of specific historical events, they demonstrate thetypes of mental health issues that will continue to arise as climate change leads to increases in the frequency, severity, and duration of extreme climate- and weather-related events such as floods, hurricanes, droughts, and wildfires.17, 18, 19, 20, 21, 22, 23, 24, 25, 29, 41, 50, 51, 68, 70 Strong support is found in a number of recent studies for the potential for climate change-related psychological effects, including grief/bereavement, increased substance use or misuse, and thoughts of suicide.19, 35, 36, 37, 38, 60\nResearch on individual resilience and recovery shows that a majority of individuals psychologically affected by a traumatic event will recover over time.]
890856297;increase_['intra-state and inter-state']_conflict_likelihood;[1655864598];[];1442;-928;[https://www.eesi.org/files/IssueBrief_Climate_Change_Security_Implications.pdf];[Another major impact of climate change on the international stage will be on water supply and the increased likelihood of intra- and inter-state conflict over this finite resource.]
3395523755;increase_['outdoor']_worker_number;[2408849692, 4133166521];[701047627];2466;-101;[https://www.yaleclimateconnections.org/2019/06/heat-waves-and-climate-change-is-there-a-connection/];[Worker productivity will likely suffer as increases in heat and humidity push the limits of human tolerance, making it difficult for outdoor workers to stay cool.]
1341395066;decrease_['meat']_eating_amount;[];[2966811852, 1775450689];-1062;-636;[https://www.theguardian.com/environment/2019/jun/03/climate-crisis-seriously-damaging-human-health-report-finds];[But the report said even small cuts in meat eating could lead to significant cuts in carbon emissions, as well as benefits to health.]
2000782527;increase_[]_air_global temperatures;[];[2838553399, 964437667];1218;786;[https://oxfordre.com/view/10.1093/acrefore/9780190228620.001.0001/acrefore-9780190228620-e-344];[A comprehensive meta-analysis of such studies predicted that a 1 standard deviation increase in global temperatures or extreme rainfall could increase the frequency of interpersonal violence by 4% and intergroup conflict by 14% (Hsiang et al., 2013).]
3657941235;increase_['destructive']_mudslides_risk;[3423175975];[];1200;105;[https://yaleclimateconnections.org/2019/07/wildfires-and-climate-change-whats-the-connection/];[Wildfires are also expected to increase the risk for destructive mudslides, as landscapes laid bare by fire are drenched with winter rain.]
1849521035;decrease_[]_economy_productivity;[2891441733];[];2483;-699;[https://cronkitenews.azpbs.org/2019/06/04/climate-change-lower-birth-rates-linked/];[“If you don’t care about an increase of risk of death for the elderly or decrease of economic productivity, because the heat makes it harder to work outside, you might care about this, which suggests that it might be harder to have children in the future.”]
3334238732;increase_[]_air_rising temperatures;[514338916];[];1399;954;[https://www.nytimes.com/interactive/2020/08/06/climate/climate-change-inequality-heat.html];[In Nigeria, rising temperatures are supercharged by nonstop gas flares.]
1199942001;increase_[]_health_effects;[2779245151];[];394;97;[https://www.intechopen.com/books/contemporary-topics-of-pneumonia/pneumonia-a-challenging-health-concern-with-the-climate-change];[Health effects of air pollution are of concern; atmospheric pollutants in gaseous (mainly carbon dioxide, methane, nitrous oxide) or particulate forms may affect respiratory system according to their physical properties (solubility), their concentration, and the rate and depth of the ventilation of the subject.]
3660195283;increase_[]_storm_strength;[];[3635100677];2976;603;[https://spectrumnews1.com/wi/madison/news/2020/10/06/climate-change-report-details-current-and-future-impacts-in-wisconsin];[Stronger storms, like the Derecho winds that wiped out an estimated 10 million acres of corn in Iowa, can hurt the bottom line for farmers.]
1495047256;increase_[]_climate change_occurrence;[1739962170];[818495806, 2235830601, 1739962170];1850;1078;[https://apnews.com/2b8ca53ae18b420193cdb3957afcbd92];[Climate change and biodiversity loss are equally huge environmental problems that make each other worse, report chairman Robert Watson said.]
3062034958;increase_['active', 'hillslope']_erosional features_occurrence;[];[2261956420];766;956;[https://www.nature.com/articles/s41561-019-0526-0];[Active hillslope erosional features will occupy 3% of abrupt thaw terrain by 2300 but emit one-third of abrupt thaw carbon losses.]
2463545192;increase_[]_to adapt_requirements;[566140866];[];1209;-256;[https://www.nytimes.com/2019/07/11/climate/hurricane-tropical-storms.html];[What many scientists and experts agree on: As climate change increases extreme precipitation, cities will need to adapt.]
1251554967;increase_['tropical']_soil_temperatures;[];[2261956420];2279;732;[https://news.mongabay.com/2020/10/hotter-tropics-may-worsen-climate-change-reforestation-could-lessen-it-studies/];[The researchers predicted only modest carbon loss from tropical soils, but were surprised to find carbon emission increases of 55% over two years when those soils were heated by four degrees Celsius.]
2151058541;increase_[]_habitat_fragmentation;[];[6143408];2907;35;[https://www.pbs.org/wgbh/nova/article/animal-adaptation-climate-change/];[Despite the study’s relatively narrow scope, the authors argue that the results likely apply to other creatures, including those rare and vulnerable species already imperiled by habitat fragmentation, pollution, and other human-caused disruptions.]
3329965609;increase_['strong']_wind_duration;[1962311864];[1466653652, 3336897897];3177;554;[https://www.nature.com/articles/s41612-019-0074-8];[A stalling TC inflicts strong winds on the same region for a longer time, potentially driving greater storm surge and depositing more rain.]
2590396983;increase_['household']_rebates_occurrence;[];[1960053520];-879;-786;[http://theconversation.com/climate-change-puts-health-at-risk-and-economists-have-the-right-prescription-118797];[By returning the revenues through household rebates, tax cuts and low-carbon investments like public transit, governments are using the revenues from carbon pricing to make the transition to a cleaner economy more affordable.]
1922533066;increase_['spring']_wheat_yield losses;[1897205423, 3734511371, 3316167927, 3252706590];[];3749;-435;[https://physicsworld.com/a/crops-at-risk-from-changing-climate/];[Unusually cold nights, ever greater numbers of extremely hot summer days, weeks with no rainfall, or torrents of storm-driven precipitation, account for somewhere between a fifth to 49% of yield losses for maize, rice, spring wheat and soy beans.]
2404882279;decrease_['public health']_infrastructure_condition;[1678932854];[2914585234];1806;-291;[https://www.usatoday.com/story/news/nation/2020/09/10/climate-change-covid-19-does-global-warming-fuel-pandemics/5749582002/];[He said to consider, for example, the situation in Puerto Rico, where many people have died of COVID-19 for the simple reason that they have not yet recovered, in terms of their public health infrastructure, from the devastating impacts of Hurricane Maria three years ago.]
538825605;increase_[]_persons_displacement;[857324632, 192884453, 1408423774, 1542778642];[];2165;-957;[https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4928742/];[For example, it has been estimated that over 200 million persons may be forced to leave their place or country of residence by 2050 due to a combination of climate change-related shoreline erosion, coastal flooding, desertification, agricultural change, natural disasters, government policy or geopolitical conflict [73].]
277227160;increase_[]_flood_risk;[2821424609];[];736;302;[https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2019WR025571];[A shift from snow to rain thus carries potential consequences for water resources (Berghuijs et al., 2014) and flood risk (Huang et al., 2018).]
3980609238;increase_[]_forests_dieback;[723915832];[];2423;186;[https://www.carbonbrief.org/explainer-nine-tipping-points-that-could-be-triggered-by-climate-change];[Continued temperature rise could generate rapid changes in boreal forests, including dieback.]
2338552329;increase_[]_hurricane_wind speeds;[2855992146];[];3113;581;[https://www.pbs.org/newshour/nation/is-climate-change-making-hurricanes-stall];[Warmer oceans cause hurricanes to have faster wind speeds and stronger central pressure, making the storms more intense.]
2094305576;decrease_[]_to resolve disputes peacefully_mechanisms;[3649234979, 956657781, 2790394473, 145893722];[];1386;-1136;[https://oxfordre.com/view/10.1093/acrefore/9780190228620.001.0001/acrefore-9780190228620-e-344];[In many of these cases, an environmental disaster was a flashpoint which ultimately culminated in interpersonal violence due to lost infrastructure, fear and uncertainty, perceived scarcity or competition, or massive relocation—all factors that weaken social control and counteract the mechanisms societies use to resolve disputes peacefully (Nardulli et al., 2015).]
2287512321;increase_[]_hurricane_strength;[355603861];[];2954;553;[https://yaleclimateconnections.org/2019/07/how-climate-change-is-making-hurricanes-more-dangerous/];[There’s now evidence that the unnatural effects of human-caused global warming are already making hurricanes stronger and more destructive.]
2505267433;increase_[]_heat sensitivity_occurrence;[417497203];[];337;-166;[https://www.azcentral.com/in-depth/news/2020/08/26/heat-killing-more-people-cities-sizzle-hotter-temperatures/4553439002/];[And some prescription and over-the-counter medications for conditions ranging from allergies to high blood pressure and depression increase heat sensitivity.]
2950023856;increase_[]_community_devastation;[1760473057];[];1661;-439;[https://eos.org/articles/invisible-wildfire-smoke-has-visible-health-impacts];[Severe wildfires, like the recent Camp fire in Paradise, Calif., have been increasing across the West, devastating nearby communities.]
3723243709;increase_[]_nutrients_displacement;[3562299370];[];3185;-391;[https://e360.yale.edu/features/climate-whiplash-wild-swings-in-extreme-weather-are-on-the-rise];[One is warming that leads to a rain-on-snow event, which can cause flooding and flushing of nutrients out of the system, and another is a winter heat wave, such as one that hit New England in February 2017 with 70-degree temperatures.]
1049701399;increase_[]_Nitroglycerin_sensitivity;[1170543909];[3011357776];1221;50;[https://www.scientificamerican.com/article/climate-change-may-be-blowing-up-arms-depots/];[Nitroglycerin becomes so sensitive when it absorbs moisture that even a slight shake can set it off.]
1062099600;increase_['freshwater']_lakes_average temperature;[];[1191811279];2675;778;[https://www.scientificamerican.com/article/how-the-spreading-symptoms-of-climate-change-can-be-deadly/];["As freshwater lakes get hotter in the summer, that leads to more amoebae in the water and increased human risk," said Sonia Altizer, an associate professor of ecology at the University of Georgia.]
1175880773;increase_[]_coal_combustion;[];[724883391];2032;1571;[https://www.npr.org/sections/health-shots/2020/05/19/854760999/traffic-is-way-down-due-to-lockdowns-but-air-pollution-not-so-much];[Pollution from burning coal also affects a larger area than vehicle emissions, which means modest air pollution reductions in East Coast states may partly be because of their location downwind of coal-fired facilities.]
3069445118;increase_['flash']_flood_occurrence;[];[772006913];767;266;[https://www.businessinsider.com/climate-change-displaces-twice-as-many-people-as-violence-2019-9];[Flash flooding between January 22 and February 3, caused by tropical depression Amang, led to an additional 106,000 new displacements in the Davao.]
2744195807;increase_['mental']_health_impacts;[913745846, 772006913];[];1016;-759;[http://www.climatesciencewatch.org/2019/06/28/as-climate-change-creates-a-true-public-health-emergency-trump-administration-quashes-federal-climate-program-and-exiles-its-director/];[“Extreme heat, powerful storms and floods, year-round wildfires, droughts, and other climate-related events have already caused thousands of deaths and displaced tens of thousands of people in the U.S. from their homes, with significant personal loss and mental health impacts especially for first responders and children,” the letter warns.]
4239570747;increase_['viral respiratory']_infection_occurrence;[];[633558448, 4072172012];783;-363;[https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3359893/];[Known or potential EL risk factors for disparities in asthma or asthma morbidity include cigarette smoking and environmental tobacco smoke (ETS), prematurity or low birth weight, allergen exposure, indoor and outdoor air pollution, diet, obesity, vitamin D insufficiency, viral respiratory infections (e.g., due to crowding), psychosocial stress, and poor adherence with prescribed treatment.]
3486128989;decrease_[]_methane_emissions;[];[762846987];-605;-768;[https://theconversation.com/if-we-stopped-emitting-greenhouse-gases-right-now-would-we-stop-climate-change-78882];[In order to stop the accumulation of heat, we would have to eliminate not just carbon dioxide emissions, but all greenhouse gases, such as methane and nitrous oxide.]
